284,31,RT,0
36473,727,RT,0
284,35,RT,0
932,4537,RT,0
50040,5128,RT,0
44217,605,RT,0
9164,465,RT,0
14447,10285,RT,0
23513,19883,RT,0
28339,12234,RT,0
17270,803,RT,0
73648,73438,RT,0
60262,3609,RT,0
80510,15148,RT,0
21298,6607,RT,0
29388,7833,RT,0
76280,28033,RT,0
33609,22,RT,0
76518,15213,RT,0
68118,810,RT,0
21792,425,RT,0
19704,34640,RT,0
3549,727,RT,0
31563,115,RT,0
40221,1299,RT,0
43909,803,RT,0
27450,2969,RT,0
65862,803,RT,0
7997,7892,RT,0
79792,727,RT,0
63724,63695,RT,0
17606,41,RT,0
51744,727,RT,0
80975,22,RT,0
9391,7257,RT,0
13468,4591,RT,0
64088,55790,RT,0
53504,5128,RT,0
38311,115,RT,0
84380,17,RT,0
56254,56024,RT,0
17911,810,RT,0
15780,20541,RT,0
892,6938,RT,0
33277,2969,RT,0
78738,2728,RT,0
29713,29430,RT,0
1594,1071,RT,0
51145,51146,RT,0
87070,86920,RT,0
76907,727,RT,0
43580,42352,RT,0
5256,462,RT,0
84440,7257,RT,0
76829,76159,RT,0
2953,24457,RT,0
27594,27593,RT,0
25368,11238,RT,0
39506,17,RT,0
10999,22,RT,0
38045,810,RT,0
24996,1060,RT,0
12234,22,RT,0
42707,15847,RT,0
37460,315,RT,0
45968,327,RT,0
80037,6938,RT,0
21643,31763,RT,0
38025,31166,RT,0
49679,3082,RT,0
31287,17,RT,0
86652,5495,RT,0
21755,605,RT,0
2355,3987,RT,0
82788,27530,RT,0
85630,85220,RT,0
6712,6625,RT,0
50179,50180,RT,0
65658,22,RT,0
15410,14523,RT,0
55947,3267,RT,0
74654,17,RT,0
37132,37083,RT,0
12748,6734,RT,0
30914,22,RT,0
59109,16201,RT,0
4568,4914,RT,0
5591,9594,RT,0
86642,3656,RT,0
1456,1098,RT,0
19022,803,RT,0
79213,10250,RT,0
7501,4591,RT,0
14247,15213,RT,0
1097,1094,RT,0
59551,14954,RT,0
50882,18384,RT,0
58630,24026,RT,0
10547,115,RT,0
19365,1617,RT,0
197,7257,RT,0
14787,509,RT,0
87864,315,RT,0
46280,810,RT,0
1282,13191,RT,0
40338,2097,RT,0
11919,509,RT,0
52686,57,RT,0
72125,72065,RT,0
75930,75787,RT,0
40068,3250,RT,0
88044,16979,RT,0
8956,315,RT,0
29040,605,RT,0
14830,13036,RT,0
83048,605,RT,0
5943,4914,RT,0
16084,16179,RT,0
42573,42574,RT,0
66238,22,RT,0
13626,2905,RT,0
10543,19827,RT,0
8146,315,RT,0
6504,3865,RT,0
35480,56147,RT,0
20582,21343,RT,0
74429,810,RT,0
11466,3068,RT,0
85842,727,RT,0
395,28008,RT,0
1594,57,RT,0
1594,52,RT,0
7865,3277,RT,0
10838,19424,RT,0
5552,3265,RT,0
9780,153,RT,0
25589,3865,RT,0
2403,59,RT,0
11403,5087,RT,0
26720,13592,RT,0
781,594,RT,0
69445,28255,RT,0
21213,727,RT,0
12738,234,RT,0
4511,4018,RT,0
73881,22,RT,0
9162,315,RT,0
34556,59245,RT,0
86607,115,RT,0
6881,169,RT,0
54834,1547,RT,0
6884,605,RT,0
7737,7793,RT,0
10328,22,RT,0
55561,27133,RT,0
53300,20,RT,0
74338,17,RT,0
10319,24411,RT,0
78376,29,RT,0
22301,14534,RT,0
38004,810,RT,0
1730,57867,RT,0
295,87346,RT,0
18582,810,RT,0
6358,10582,RT,0
62270,315,RT,0
23845,727,RT,0
25212,45696,RT,0
8804,53840,RT,0
40331,24752,RT,0
2689,22,RT,0
40922,40921,RT,0
53521,153,RT,0
9574,3022,RT,0
40967,816,RT,0
39987,810,RT,0
69651,803,RT,0
8647,315,RT,0
29229,563,RT,0
16364,29,RT,0
15271,22,RT,0
4781,13386,RT,0
35391,727,RT,0
19384,15186,RT,0
19529,22,RT,0
9236,315,RT,0
84482,4719,RT,0
51484,8132,RT,0
42514,115,RT,0
101,6077,RT,0
13159,1060,RT,0
35196,22,RT,0
80857,73358,RT,0
14997,13416,RT,0
40866,20,RT,0
10180,46,RT,0
63493,10250,RT,0
58246,3254,RT,0
82208,43112,RT,0
778,5694,RT,0
39895,3278,RT,0
1272,2254,RT,0
1594,3082,RT,0
55561,32295,RT,0
17209,22,RT,0
3398,3399,RT,0
59280,4988,RT,0
48725,31,RT,0
3173,146,RT,0
22632,22,RT,0
76629,41,RT,0
70071,69942,RT,0
83446,15213,RT,0
15792,6368,RT,0
7428,985,RT,0
84736,727,RT,0
14319,1790,RT,0
75078,22358,RT,0
7499,1171,RT,0
61783,37304,RT,0
69429,803,RT,0
27763,27530,RT,0
12158,9,RT,0
55824,55825,RT,0
46319,1979,RT,0
193,59223,RT,0
5894,17,RT,0
84208,727,RT,0
20265,19925,RT,0
33496,2969,RT,0
31124,31088,RT,0
14010,327,RT,0
1026,569,RT,0
14911,3068,RT,0
18524,22,RT,0
24574,509,RT,0
13140,803,RT,0
85880,727,RT,0
10388,29,RT,0
26078,1360,RT,0
6097,6438,RT,0
57621,55169,RT,0
11543,16602,RT,0
17106,15807,RT,0
2870,4537,RT,0
20,3941,RT,0
35739,2028,RT,0
35652,9980,RT,0
56783,8474,RT,0
66456,5276,RT,0
16779,46453,RT,0
17745,17,RT,0
31221,31,RT,0
56315,55784,RT,0
11209,115,RT,0
15916,1598,RT,0
84080,84081,RT,0
15720,327,RT,0
1111,234,RT,0
52644,29,RT,0
28358,15107,RT,0
21415,7033,RT,0
4592,810,RT,0
442,443,RT,0
20739,20740,RT,0
38116,810,RT,0
79702,79688,RT,0
65715,4650,RT,0
46738,21567,RT,0
24880,803,RT,0
46093,46092,RT,0
